"subject" "problem" "trial" "choice" "condition" "pHa" "La" "Hb" "pHb" "Lb" "LotNum"
"2234" 1 33 23 0 "ByProb" 1 -3 14 0.4 -22 1
"2235" 1 33 24 1 "ByProb" 1 -3 14 0.4 -22 1
"2236" 1 33 25 0 "ByProb" 1 -3 14 0.4 -22 1
"4070" 1 35 1 0 "ByProb" 1 -5 47 0.01 -15 1
"4054" 1 35 2 0 "ByProb" 1 -5 47 0.01 -15 1
"4302" 1 35 3 0 "ByProb" 1 -5 47 0.01 -15 1
"4303" 1 35 4 0 "ByProb" 1 -5 47 0.01 -15 1
"4183" 1 35 5 0 "ByProb" 1 -5 47 0.01 -15 1
"4428" 1 35 6 0 "ByProb" 1 -5 47 0.01 -15 1
"4429" 1 35 7 0 "ByProb" 1 -5 47 0.01 -15 1
"4430" 1 35 8 0 "ByProb" 1 -5 47 0.01 -15 1
"4431" 1 35 9 0 "ByProb" 1 -5 47 0.01 -15 1
"4432" 1 35 10 0 "ByProb" 1 -5 47 0.01 -15 1
"4433" 1 35 11 0 "ByProb" 1 -5 47 0.01 -15 1
"4434" 1 35 12 0 "ByProb" 1 -5 47 0.01 -15 1
"4435" 1 35 13 0 "ByProb" 1 -5 47 0.01 -15 1
"4436" 1 35 14 0 "ByProb" 1 -5 47 0.01 -15 1
"4437" 1 35 15 0 "ByProb" 1 -5 47 0.01 -15 1
"4438" 1 35 16 0 "ByProb" 1 -5 47 0.01 -15 1
"4439" 1 35 17 0 "ByProb" 1 -5 47 0.01 -15 1
"4440" 1 35 18 0 "ByProb" 1 -5 47 0.01 -15 1
"4441" 1 35 19 0 "ByProb" 1 -5 47 0.01 -15 1
"4442" 1 35 20 0 "ByProb" 1 -5 47 0.01 -15 1
"4443" 1 35 21 0 "ByProb" 1 -5 47 0.01 -15 1
"4444" 1 35 22 0 "ByProb" 1 -5 47 0.01 -15 1
"4445" 1 35 23 0 "ByProb" 1 -5 47 0.01 -15 1
"4446" 1 35 24 0 "ByProb" 1 -5 47 0.01 -15 1
"4447" 1 35 25 0 "ByProb" 1 -5 47 0.01 -15 1
"6268" 1 37 1 0 "ByProb" 0.9 0 64 0.4 -7 1
"6147" 1 37 2 0 "ByProb" 0.9 0 64 0.4 -7 1
"6639" 1 37 3 0 "ByProb" 0.9 0 64 0.4 -7 1
"7734" 1 37 4 0 "ByProb" 0.9 0 64 0.4 -7 1
"7735" 1 37 5 0 "ByProb" 0.9 0 64 0.4 -7 1
"7372" 1 37 6 0 "ByProb" 0.9 0 64 0.4 -7 1
"7373" 1 37 7 0 "ByProb" 0.9 0 64 0.4 -7 1
"7374" 1 37 8 0 "ByProb" 0.9 0 64 0.4 -7 1
"7375" 1 37 9 0 "ByProb" 0.9 0 64 0.4 -7 1
"7376" 1 37 10 0 "ByProb" 0.9 0 64 0.4 -7 1
"7741" 1 37 11 0 "ByProb" 0.9 0 64 0.4 -7 1
"7742" 1 37 12 0 "ByProb" 0.9 0 64 0.4 -7 1
"7743" 1 37 13 0 "ByProb" 0.9 0 64 0.4 -7 1
"7744" 1 37 14 0 "ByProb" 0.9 0 64 0.4 -7 1
"7381" 1 37 15 0 "ByProb" 0.9 0 64 0.4 -7 1
"7382" 1 37 16 0 "ByProb" 0.9 0 64 0.4 -7 1
"7383" 1 37 17 0 "ByProb" 0.9 0 64 0.4 -7 1
"7384" 1 37 18 0 "ByProb" 0.9 0 64 0.4 -7 1
"7385" 1 37 19 0 "ByProb" 0.9 0 64 0.4 -7 1
"7750" 1 37 20 0 "ByProb" 0.9 0 64 0.4 -7 1
"7751" 1 37 21 0 "ByProb" 0.9 0 64 0.4 -7 1
"7752" 1 37 22 0 "ByProb" 0.9 0 64 0.4 -7 1
"7753" 1 37 23 0 "ByProb" 0.9 0 64 0.4 -7 1
"6660" 1 37 24 1 "ByProb" 0.9 0 64 0.4 -7 1
"6661" 1 37 25 1 "ByProb" 0.9 0 64 0.4 -7 1
"8605" 1 38 1 0 "ByProb" 1 24 34 0.05 28 1
"8606" 1 38 2 0 "ByProb" 1 24 34 0.05 28 1
"8486" 1 38 3 0 "ByProb" 1 24 34 0.05 28 1
"8487" 1 38 4 1 "ByProb" 1 24 34 0.05 28 1
"8853" 1 38 5 1 "ByProb" 1 24 34 0.05 28 1
"8854" 1 38 6 1 "ByProb" 1 24 34 0.05 28 1
"8855" 1 38 7 1 "ByProb" 1 24 34 0.05 28 1
"9585" 1 38 8 1 "ByProb" 1 24 34 0.05 28 1
"9586" 1 38 9 1 "ByProb" 1 24 34 0.05 28 1
"9587" 1 38 10 1 "ByProb" 1 24 34 0.05 28 1
"9588" 1 38 11 1 "ByProb" 1 24 34 0.05 28 1
"9832" 1 38 12 1 "ByProb" 1 24 34 0.05 28 1
"9954" 1 38 13 1 "ByProb" 1 24 34 0.05 28 1
"9915" 1 38 14 1 "ByProb" 1 24 34 0.05 28 1
"9592" 1 38 15 1 "ByProb" 1 24 34 0.05 28 1
"9593" 1 38 16 1 "ByProb" 1 24 34 0.05 28 1
"9594" 1 38 17 1 "ByProb" 1 24 34 0.05 28 1
"9595" 1 38 18 1 "ByProb" 1 24 34 0.05 28 1
"9596" 1 38 19 1 "ByProb" 1 24 34 0.05 28 1
"9597" 1 38 20 1 "ByProb" 1 24 34 0.05 28 1
"9598" 1 38 21 1 "ByProb" 1 24 34 0.05 28 1
"9842" 1 38 22 1 "ByProb" 1 24 34 0.05 28 1
"9843" 1 38 23 1 "ByProb" 1 24 34 0.05 28 1
"8871" 1 38 24 1 "ByProb" 1 24 34 0.05 28 1
"8872" 1 38 25 1 "ByProb" 1 24 34 0.05 28 1
"10452" 1 43 1 0 "ByProb" 1 14 12 0.9 9 1
"10696" 1 43 2 0 "ByProb" 1 14 12 0.9 9 1
"10697" 1 43 3 0 "ByProb" 1 14 12 0.9 9 1
"10698" 1 43 4 0 "ByProb" 1 14 12 0.9 9 1
"10699" 1 43 5 0 "ByProb" 1 14 12 0.9 9 1
"11065" 1 43 6 0 "ByProb" 1 14 12 0.9 9 1
"11066" 1 43 7 0 "ByProb" 1 14 12 0.9 9 1
"11067" 1 43 8 0 "ByProb" 1 14 12 0.9 9 1
"11068" 1 43 9 0 "ByProb" 1 14 12 0.9 9 1
"11798" 1 43 10 0 "ByProb" 1 14 12 0.9 9 1
"11678" 1 43 11 0 "ByProb" 1 14 12 0.9 9 1
"11679" 1 43 12 0 "ByProb" 1 14 12 0.9 9 1
"11680" 1 43 13 0 "ByProb" 1 14 12 0.9 9 1
"11681" 1 43 14 0 "ByProb" 1 14 12 0.9 9 1
"11803" 1 43 15 0 "ByProb" 1 14 12 0.9 9 1
"11804" 1 43 16 0 "ByProb" 1 14 12 0.9 9 1
"11805" 1 43 17 0 "ByProb" 1 14 12 0.9 9 1
"11806" 1 43 18 0 "ByProb" 1 14 12 0.9 9 1
"11807" 1 43 19 0 "ByProb" 1 14 12 0.9 9 1
"11808" 1 43 20 0 "ByProb" 1 14 12 0.9 9 1
"11688" 1 43 21 0 "ByProb" 1 14 12 0.9 9 1
"11689" 1 43 22 0 "ByProb" 1 14 12 0.9 9 1
"12054" 1 43 23 0 "ByProb" 1 14 12 0.9 9 1
"11082" 1 43 24 0 "ByProb" 1 14 12 0.9 9 1
"11083" 1 43 25 0 "ByProb" 1 14 12 0.9 9 1
"12906" 1 44 1 0 "ByProb" 1 23 24 0.99 -33 1
"12907" 1 44 2 0 "ByProb" 1 23 24 0.99 -33 1
"12908" 1 44 3 0 "ByProb" 1 23 24 0.99 -33 1
"12909" 1 44 4 0 "ByProb" 1 23 24 0.99 -33 1
"12910" 1 44 5 0 "ByProb" 1 23 24 0.99 -33 1
"12911" 1 44 6 0 "ByProb" 1 23 24 0.99 -33 1
"12912" 1 44 7 0 "ByProb" 1 23 24 0.99 -33 1
"12549" 1 44 8 0 "ByProb" 1 23 24 0.99 -33 1
"12550" 1 44 9 0 "ByProb" 1 23 24 0.99 -33 1
"13891" 1 44 10 0 "ByProb" 1 23 24 0.99 -33 1
"13892" 1 44 11 0 "ByProb" 1 23 24 0.99 -33 1
"13893" 1 44 12 0 "ByProb" 1 23 24 0.99 -33 1
"13894" 1 44 13 0 "ByProb" 1 23 24 0.99 -33 1
"13976" 1 44 14 0 "ByProb" 1 23 24 0.99 -33 1
"13653" 1 44 15 0 "ByProb" 1 23 24 0.99 -33 1
"14018" 1 44 16 0 "ByProb" 1 23 24 0.99 -33 1
"14019" 1 44 17 0 "ByProb" 1 23 24 0.99 -33 1
"14020" 1 44 18 0 "ByProb" 1 23 24 0.99 -33 1
"13900" 1 44 19 0 "ByProb" 1 23 24 0.99 -33 1
"13901" 1 44 20 0 "ByProb" 1 23 24 0.99 -33 1
"13902" 1 44 21 0 "ByProb" 1 23 24 0.99 -33 1
"13903" 1 44 22 0 "ByProb" 1 23 24 0.99 -33 1
"13864" 1 44 23 0 "ByProb" 1 23 24 0.99 -33 1
"13296" 1 44 24 0 "ByProb" 1 23 24 0.99 -33 1
"13297" 1 44 25 0 "ByProb" 1 23 24 0.99 -33 1
"14756" 1 46 1 0 "ByProb" 0.01 9 30 0.6 -37 1
"14757" 1 46 2 0 "ByProb" 0.01 9 30 0.6 -37 1
"14758" 1 46 3 0 "ByProb" 0.01 9 30 0.6 -37 1
"15123" 1 46 4 0 "ByProb" 0.01 9 30 0.6 -37 1
"15124" 1 46 5 0 "ByProb" 0.01 9 30 0.6 -37 1
"15125" 1 46 6 0 "ByProb" 0.01 9 30 0.6 -37 1
"15126" 1 46 7 0 "ByProb" 0.01 9 30 0.6 -37 1
"14763" 1 46 8 0 "ByProb" 0.01 9 30 0.6 -37 1
"15493" 1 46 9 0 "ByProb" 0.01 9 30 0.6 -37 1
"15494" 1 46 10 0 "ByProb" 0.01 9 30 0.6 -37 1
"15982" 1 46 11 0 "ByProb" 0.01 9 30 0.6 -37 1
"15983" 1 46 12 0 "ByProb" 0.01 9 30 0.6 -37 1
"16105" 1 46 13 0 "ByProb" 0.01 9 30 0.6 -37 1
"16106" 1 46 14 0 "ByProb" 0.01 9 30 0.6 -37 1
"15864" 1 46 15 0 "ByProb" 0.01 9 30 0.6 -37 1
"15865" 1 46 16 0 "ByProb" 0.01 9 30 0.6 -37 1
"16190" 1 46 17 1 "ByProb" 0.01 9 30 0.6 -37 1
"16191" 1 46 18 1 "ByProb" 0.01 9 30 0.6 -37 1
"16071" 1 46 19 1 "ByProb" 0.01 9 30 0.6 -37 1
"15991" 1 46 20 0 "ByProb" 0.01 9 30 0.6 -37 1
"16113" 1 46 21 1 "ByProb" 0.01 9 30 0.6 -37 1
"16114" 1 46 22 0 "ByProb" 0.01 9 30 0.6 -37 1
"15995" 1 46 23 1 "ByProb" 0.01 9 30 0.6 -37 1
"15507" 1 46 24 1 "ByProb" 0.01 9 30 0.6 -37 1
"15508" 1 46 25 1 "ByProb" 0.01 9 30 0.6 -37 1
"16967" 1 51 1 1 "ByProb" 0.8 -18 68 0.2 23 1
"16968" 1 51 2 1 "ByProb" 0.8 -18 68 0.2 23 1
"16969" 1 51 3 1 "ByProb" 0.8 -18 68 0.2 23 1
"16970" 1 51 4 1 "ByProb" 0.8 -18 68 0.2 23 1
"16971" 1 51 5 1 "ByProb" 0.8 -18 68 0.2 23 1
"17336" 1 51 6 1 "ByProb" 0.8 -18 68 0.2 23 1
"17337" 1 51 7 1 "ByProb" 0.8 -18 68 0.2 23 1
"16974" 1 51 8 1 "ByProb" 0.8 -18 68 0.2 23 1
"16975" 1 51 9 1 "ByProb" 0.8 -18 68 0.2 23 1
"16976" 1 51 10 1 "ByProb" 0.8 -18 68 0.2 23 1
"16977" 1 51 11 1 "ByProb" 0.8 -18 68 0.2 23 1
"17707" 1 51 12 1 "ByProb" 0.8 -18 68 0.2 23 1
"17708" 1 51 13 1 "ByProb" 0.8 -18 68 0.2 23 1
"18196" 1 51 14 1 "ByProb" 0.8 -18 68 0.2 23 1
"17954" 1 51 15 1 "ByProb" 0.8 -18 68 0.2 23 1
"17955" 1 51 16 1 "ByProb" 0.8 -18 68 0.2 23 1
"18077" 1 51 17 0 "ByProb" 0.8 -18 68 0.2 23 1
"18078" 1 51 18 0 "ByProb" 0.8 -18 68 0.2 23 1
"18188" 1 51 19 0 "ByProb" 0.8 -18 68 0.2 23 1
"18081" 1 51 20 0 "ByProb" 0.8 -18 68 0.2 23 1
"18123" 1 51 21 0 "ByProb" 0.8 -18 68 0.2 23 1
"18178" 1 51 22 0 "ByProb" 0.8 -18 68 0.2 23 1
"18152" 1 51 23 1 "ByProb" 0.8 -18 68 0.2 23 1
"17718" 1 51 24 1 "ByProb" 0.8 -18 68 0.2 23 1
"17719" 1 51 25 1 "ByProb" 0.8 -18 68 0.2 23 1
"19178" 1 52 1 0 "ByProb" 0.2 0 46 0.25 -2 1
"19179" 1 52 2 0 "ByProb" 0.2 0 46 0.25 -2 1
"19180" 1 52 3 0 "ByProb" 0.2 0 46 0.25 -2 1
"19181" 1 52 4 0 "ByProb" 0.2 0 46 0.25 -2 1
"19182" 1 52 5 0 "ByProb" 0.2 0 46 0.25 -2 1
"19183" 1 52 6 0 "ByProb" 0.2 0 46 0.25 -2 1
"19548" 1 52 7 0 "ByProb" 0.2 0 46 0.25 -2 1
"19185" 1 52 8 0 "ByProb" 0.2 0 46 0.25 -2 1
"19186" 1 52 9 0 "ByProb" 0.2 0 46 0.25 -2 1
"19187" 1 52 10 0 "ByProb" 0.2 0 46 0.25 -2 1
"19188" 1 52 11 0 "ByProb" 0.2 0 46 0.25 -2 1
"19189" 1 52 12 0 "ByProb" 0.2 0 46 0.25 -2 1
"19920" 1 52 13 0 "ByProb" 0.2 0 46 0.25 -2 1
"19921" 1 52 14 0 "ByProb" 0.2 0 46 0.25 -2 1
"19922" 1 52 15 0 "ByProb" 0.2 0 46 0.25 -2 1
"19923" 1 52 16 0 "ByProb" 0.2 0 46 0.25 -2 1
"19924" 1 52 17 0 "ByProb" 0.2 0 46 0.25 -2 1
"19804" 1 52 18 0 "ByProb" 0.2 0 46 0.25 -2 1
"19926" 1 52 19 0 "ByProb" 0.2 0 46 0.25 -2 1
"19927" 1 52 20 0 "ByProb" 0.2 0 46 0.25 -2 1
"19928" 1 52 21 0 "ByProb" 0.2 0 46 0.25 -2 1
"19929" 1 52 22 0 "ByProb" 0.2 0 46 0.25 -2 1
"19930" 1 52 23 0 "ByProb" 0.2 0 46 0.25 -2 1
"19931" 1 52 24 0 "ByProb" 0.2 0 46 0.25 -2 1
"19932" 1 52 25 0 "ByProb" 0.2 0 46 0.25 -2 1
"20661" 1 53 1 1 "ByProb" 1 28 42 0.75 -22 1
"20311" 1 53 2 1 "ByProb" 1 28 42 0.75 -22 1
"20663" 1 53 3 1 "ByProb" 1 28 42 0.75 -22 1
"20664" 1 53 4 1 "ByProb" 1 28 42 0.75 -22 1
"20665" 1 53 5 1 "ByProb" 1 28 42 0.75 -22 1
"20666" 1 53 6 1 "ByProb" 1 28 42 0.75 -22 1
"21031" 1 53 7 1 "ByProb" 1 28 42 0.75 -22 1
"21032" 1 53 8 1 "ByProb" 1 28 42 0.75 -22 1
"21033" 1 53 9 1 "ByProb" 1 28 42 0.75 -22 1
"20670" 1 53 10 1 "ByProb" 1 28 42 0.75 -22 1
"20671" 1 53 11 1 "ByProb" 1 28 42 0.75 -22 1
"20672" 1 53 12 1 "ByProb" 1 28 42 0.75 -22 1
"20673" 1 53 13 1 "ByProb" 1 28 42 0.75 -22 1
"20674" 1 53 14 1 "ByProb" 1 28 42 0.75 -22 1
"21404" 1 53 15 1 "ByProb" 1 28 42 0.75 -22 1
"21405" 1 53 16 1 "ByProb" 1 28 42 0.75 -22 1
"21406" 1 53 17 1 "ByProb" 1 28 42 0.75 -22 1
"21407" 1 53 18 1 "ByProb" 1 28 42 0.75 -22 1
"22016" 1 53 19 1 "ByProb" 1 28 42 0.75 -22 1
"22017" 1 53 20 1 "ByProb" 1 28 42 0.75 -22 1
"22018" 1 53 21 1 "ByProb" 1 28 42 0.75 -22 1
"22140" 1 53 22 1 "ByProb" 1 28 42 0.75 -22 1
"22020" 1 53 23 1 "ByProb" 1 28 42 0.75 -22 1
"22142" 1 53 24 1 "ByProb" 1 28 42 0.75 -22 1
"22143" 1 53 25 1 "ByProb" 1 28 42 0.75 -22 1
"22872" 1 54 1 0 "ByProb" 1 18 64 0.5 -33 1
"22509" 1 54 2 0 "ByProb" 1 18 64 0.5 -33 1
"22510" 1 54 3 0 "ByProb" 1 18 64 0.5 -33 1
"22875" 1 54 4 0 "ByProb" 1 18 64 0.5 -33 1
"22876" 1 54 5 0 "ByProb" 1 18 64 0.5 -33 1
"22877" 1 54 6 0 "ByProb" 1 18 64 0.5 -33 1
"22878" 1 54 7 0 "ByProb" 1 18 64 0.5 -33 1
"22879" 1 54 8 0 "ByProb" 1 18 64 0.5 -33 1
"22880" 1 54 9 0 "ByProb" 1 18 64 0.5 -33 1
"22517" 1 54 10 1 "ByProb" 1 18 64 0.5 -33 1
"22518" 1 54 11 1 "ByProb" 1 18 64 0.5 -33 1
"22519" 1 54 12 1 "ByProb" 1 18 64 0.5 -33 1
"22520" 1 54 13 1 "ByProb" 1 18 64 0.5 -33 1
"22885" 1 54 14 1 "ByProb" 1 18 64 0.5 -33 1
"22886" 1 54 15 1 "ByProb" 1 18 64 0.5 -33 1
"22887" 1 54 16 0 "ByProb" 1 18 64 0.5 -33 1
"23617" 1 54 17 0 "ByProb" 1 18 64 0.5 -33 1
"23618" 1 54 18 1 "ByProb" 1 18 64 0.5 -33 1
"23255" 1 54 19 0 "ByProb" 1 18 64 0.5 -33 1
"24228" 1 54 20 0 "ByProb" 1 18 64 0.5 -33 1
"24229" 1 54 21 0 "ByProb" 1 18 64 0.5 -33 1
"23988" 1 54 22 1 "ByProb" 1 18 64 0.5 -33 1
"24110" 1 54 23 1 "ByProb" 1 18 64 0.5 -33 1
"24192" 1 54 24 1 "ByProb" 1 18 64 0.5 -33 1
"24193" 1 54 25 1 "ByProb" 1 18 64 0.5 -33 1
"25083" 1 56 1 1 "ByProb" 1 -8 -5 0.99 -34 1
"24720" 1 56 2 1 "ByProb" 1 -8 -5 0.99 -34 1
"24721" 1 56 3 1 "ByProb" 1 -8 -5 0.99 -34 1
"24722" 1 56 4 1 "ByProb" 1 -8 -5 0.99 -34 1
"24723" 1 56 5 1 "ByProb" 1 -8 -5 0.99 -34 1
"25088" 1 56 6 1 "ByProb" 1 -8 -5 0.99 -34 1
"25089" 1 56 7 1 "ByProb" 1 -8 -5 0.99 -34 1
"25090" 1 56 8 1 "ByProb" 1 -8 -5 0.99 -34 1
"25091" 1 56 9 1 "ByProb" 1 -8 -5 0.99 -34 1
"25092" 1 56 10 1 "ByProb" 1 -8 -5 0.99 -34 1
"24729" 1 56 11 1 "ByProb" 1 -8 -5 0.99 -34 1
"24730" 1 56 12 1 "ByProb" 1 -8 -5 0.99 -34 1
"24731" 1 56 13 1 "ByProb" 1 -8 -5 0.99 -34 1
"24732" 1 56 14 1 "ByProb" 1 -8 -5 0.99 -34 1
"25097" 1 56 15 1 "ByProb" 1 -8 -5 0.99 -34 1
"25098" 1 56 16 1 "ByProb" 1 -8 -5 0.99 -34 1
"25099" 1 56 17 1 "ByProb" 1 -8 -5 0.99 -34 1
"25100" 1 56 18 1 "ByProb" 1 -8 -5 0.99 -34 1
"26316" 1 56 19 1 "ByProb" 1 -8 -5 0.99 -34 1
"26305" 1 56 20 1 "ByProb" 1 -8 -5 0.99 -34 1
"26283" 1 56 21 1 "ByProb" 1 -8 -5 0.99 -34 1
"26288" 1 56 22 1 "ByProb" 1 -8 -5 0.99 -34 1
"26207" 1 56 23 1 "ByProb" 1 -8 -5 0.99 -34 1
"26286" 1 56 24 1 "ByProb" 1 -8 -5 0.99 -34 1
"26247" 1 56 25 1 "ByProb" 1 -8 -5 0.99 -34 1
"27663" 1 58 1 0 "ByProb" 0.4 -7 40 0.25 24 1
"27664" 1 58 2 0 "ByProb" 0.4 -7 40 0.25 24 1
"27665" 1 58 3 0 "ByProb" 0.4 -7 40 0.25 24 1
"27666" 1 58 4 0 "ByProb" 0.4 -7 40 0.25 24 1
"27667" 1 58 5 0 "ByProb" 0.4 -7 40 0.25 24 1
"27668" 1 58 6 0 "ByProb" 0.4 -7 40 0.25 24 1
"27669" 1 58 7 0 "ByProb" 0.4 -7 40 0.25 24 1
"27670" 1 58 8 0 "ByProb" 0.4 -7 40 0.25 24 1
"27671" 1 58 9 0 "ByProb" 0.4 -7 40 0.25 24 1
"27672" 1 58 10 0 "ByProb" 0.4 -7 40 0.25 24 1
"27673" 1 58 11 0 "ByProb" 0.4 -7 40 0.25 24 1
"27674" 1 58 12 0 "ByProb" 0.4 -7 40 0.25 24 1
"27675" 1 58 13 0 "ByProb" 0.4 -7 40 0.25 24 1
"28040" 1 58 14 0 "ByProb" 0.4 -7 40 0.25 24 1
"28041" 1 58 15 0 "ByProb" 0.4 -7 40 0.25 24 1
"28042" 1 58 16 0 "ByProb" 0.4 -7 40 0.25 24 1
"27679" 1 58 17 0 "ByProb" 0.4 -7 40 0.25 24 1
"27680" 1 58 18 0 "ByProb" 0.4 -7 40 0.25 24 1
"28276" 1 58 19 0 "ByProb" 0.4 -7 40 0.25 24 1
"28277" 1 58 20 0 "ByProb" 0.4 -7 40 0.25 24 1
"28170" 1 58 21 0 "ByProb" 0.4 -7 40 0.25 24 1
"28310" 1 58 22 0 "ByProb" 0.4 -7 40 0.25 24 1
"28256" 1 58 23 0 "ByProb" 0.4 -7 40 0.25 24 1
"28293" 1 58 24 0 "ByProb" 0.4 -7 40 0.25 24 1
"28342" 1 58 25 0 "ByProb" 0.4 -7 40 0.25 24 1
"29874" 1 59 1 1 "ByProb" 0.25 16 43 0.4 2 1
"29875" 1 59 2 1 "ByProb" 0.25 16 43 0.4 2 1
"29876" 1 59 3 1 "ByProb" 0.25 16 43 0.4 2 1
"29877" 1 59 4 1 "ByProb" 0.25 16 43 0.4 2 1
"29878" 1 59 5 1 "ByProb" 0.25 16 43 0.4 2 1
"29879" 1 59 6 1 "ByProb" 0.25 16 43 0.4 2 1
"29880" 1 59 7 1 "ByProb" 0.25 16 43 0.4 2 1
"29881" 1 59 8 1 "ByProb" 0.25 16 43 0.4 2 1
"29882" 1 59 9 1 "ByProb" 0.25 16 43 0.4 2 1
"29883" 1 59 10 1 "ByProb" 0.25 16 43 0.4 2 1
"29884" 1 59 11 1 "ByProb" 0.25 16 43 0.4 2 1
"29885" 1 59 12 1 "ByProb" 0.25 16 43 0.4 2 1
"29886" 1 59 13 1 "ByProb" 0.25 16 43 0.4 2 1
"29887" 1 59 14 1 "ByProb" 0.25 16 43 0.4 2 1
"29888" 1 59 15 1 "ByProb" 0.25 16 43 0.4 2 1
"29889" 1 59 16 1 "ByProb" 0.25 16 43 0.4 2 1
"29890" 1 59 17 1 "ByProb" 0.25 16 43 0.4 2 1
"29891" 1 59 18 1 "ByProb" 0.25 16 43 0.4 2 1
"29892" 1 59 19 1 "ByProb" 0.25 16 43 0.4 2 1
"29893" 1 59 20 1 "ByProb" 0.25 16 43 0.4 2 1
"30219" 1 59 21 1 "ByProb" 0.25 16 43 0.4 2 1
"30220" 1 59 22 1 "ByProb" 0.25 16 43 0.4 2 1
"30221" 1 59 23 1 "ByProb" 0.25 16 43 0.4 2 1
"29896" 1 59 24 1 "ByProb" 0.25 16 43 0.4 2 1
"30222" 1 59 25 1 "ByProb" 0.25 16 43 0.4 2 1
"32085" 1 60 1 1 "ByProb" 0.1 21 38 0.6 1 1
"32086" 1 60 2 1 "ByProb" 0.1 21 38 0.6 1 1
"32087" 1 60 3 1 "ByProb" 0.1 21 38 0.6 1 1
"32088" 1 60 4 1 "ByProb" 0.1 21 38 0.6 1 1
"32089" 1 60 5 1 "ByProb" 0.1 21 38 0.6 1 1
"32090" 1 60 6 1 "ByProb" 0.1 21 38 0.6 1 1
"32091" 1 60 7 1 "ByProb" 0.1 21 38 0.6 1 1
"32092" 1 60 8 1 "ByProb" 0.1 21 38 0.6 1 1
"32093" 1 60 9 1 "ByProb" 0.1 21 38 0.6 1 1
"32094" 1 60 10 1 "ByProb" 0.1 21 38 0.6 1 1
"32095" 1 60 11 1 "ByProb" 0.1 21 38 0.6 1 1
